2.1.2.1	Aspetto (Adolescente/Giovane Adulta)
2.4.5.8	Oggetti Simbolici e Significato
2.4.5.8.1	Smartphone E Social Media
2.4.5.8.2	Abbigliamento Firmato
2.4.5.8.3	Accessori Vistosi
2.4.5.9	Futuro (Post-Romanzo)
2.4.5.9.1	Evoluzione Accademica
2.4.5.9.2	Sviluppo Professionale
2.4.5.9.3	Relazioni Mature
2.4.5.9.4	Destino Caratteriale
2.4.5.10	Controlli Operativi per Scrittura AI
2.4.5.10.1	Riferimenti Obbligatori
2.4.5.10.2	Divieti Assoluti
2.4.5.10.3	Obblighi Narrativi
2.4.5.10.4	Indicatori Di Qualità Scrittura
2.4.5.10.5	Verifiche Crociate Obbligatorie
2.4.5.11	Verifiche Crociate e Coerenza Sistemica
2.4.5.11.1	Coerenza Con Altri Personaggi
2.4.5.11.2	Coerenza Temporale Critica
2.4.5.11.3	Coerenza Tematica Obbligatoria
2.4.5.11.4	Verifiche Finali Obbligatorie
2.5	Personaggi Secondari Funzionali
2.5.1	Famiglia
2.5.1.1	Genitori di Gabriele
2.5.1.1.1	Descrizione/Ruolo
2.5.1.1.2	Aspetto
2.5.1.1.3	Personalità
2.5.1.1.4	Passato
2.5.1.1.5	Evoluzione
2.5.1.1.6	Futuro (Post-Romanzo)
2.5.1.1.7	Relazioni Chiave
2.5.1.1.8	Controlli Operativi per Scrittura AI
2.5.1.2	Genitori di Lisa
2.5.1.2.1	Descrizione/Ruolo
2.5.1.2.2	Aspetto
2.5.1.2.3	Personalità
2.5.1.2.4	Passato
2.5.1.2.5	Evoluzione
2.5.1.2.6	Futuro (Post-Romanzo)
2.5.1.2.7	Relazioni Chiave
2.5.1.2.8	Controlli Operativi per Scrittura AI (Genitori Lisa):
2.5.2	Corpo Docente e Professionisti
2.5.2.1	Prof. Moretti
2.5.2.1.1	Descrizione/Ruolo
2.5.2.1.2	Aspetto
2.5.2.1.3	Personalità
2.5.2.1.4	Funzione Narrativa
2.5.2.1.5	Nota Operativa
2.5.2.2	Sig.ra Conti
2.5.2.2.1	Descrizione/Ruolo
2.5.2.2.2	Aspetto
2.5.2.2.3	Personalità
2.5.2.2.4	Funzione Narrativa
2.5.2.2.5	Nota Operativa
2.5.2.3	Dott. Ferretti (Preside)
2.5.2.3.1	Descrizione/Ruolo
2.5.2.3.2	Aspetto
2.5.2.3.3	Personalità
2.5.2.3.4	Funzione Narrativa
2.5.2.3.5	Nota Operativa
2.5.2.4	Prof. Giuliani
2.5.2.4.1	Descrizione/Ruolo
2.5.2.4.2	Aspetto
2.5.2.4.3	Personalità
2.5.2.4.4	Funzione Narrativa
2.5.2.4.5	Nota Operativa
2.5.2.5	Prof.ssa Grimaldi
2.5.2.5.1	Descrizione/Ruolo
2.5.2.5.2	Aspetto
2.5.2.5.3	Personalità
2.5.2.5.4	Funzione Narrativa
2.5.2.5.5	Nota Operativa
2.5.2.6	Allenatore Bertoni
2.5.2.6.1	Descrizione/Ruolo
2.5.2.6.2	Aspetto
2.5.2.6.3	Personalità
2.5.2.6.4	Funzione Narrativa
2.5.2.6.5	Nota Operativa
2.5.2.7	Marco Bellini
2.5.2.7.1	Descrizione/Ruolo
2.5.2.7.2	Aspetto
2.5.2.7.3	Personalità
2.5.2.7.4	Funzione Narrativa
2.5.2.7.5	Nota Operativa
2.5.2.8	Oculista
2.5.2.8.1	Descrizione/Ruolo
2.5.2.8.2	Aspetto
2.5.2.8.3	Personalità
2.5.2.8.4	Funzione Narrativa
2.5.2.8.5	Nota Operativa
2.5.2.9	CONTROLLI OPERATIVI GENERALI
2.5.2.9.1	DIVIETI ASSOLUTI:
2.5.2.9.2	OBBLIGHI NARRATIVI:
2.5.2.10	VERIFICHE CROCIATE OBBLIGATORIE:
2.5.2.11	INDICATORI DI QUALITÀ:
2.5.3	Personaggi Episodici
2.5.3.1	Signora Chen (Vicina di Casa)
2.5.3.1.1	Momento di Intervento
2.5.3.1.2	Ruolo Funzionale
2.5.3.1.3	Aspetto Essenziale
2.5.3.1.4	Funzione Narrativa
2.5.3.1.5	Impatto
2.5.3.2	Ragazzina Informatrice
2.5.3.2.1	Momento di Intervento
2.5.3.2.2	Ruolo Funzionale
2.5.3.2.3	Aspetto Essenziale
2.5.3.2.4	Funzione Narrativa
2.5.3.2.5	Impatto
2.5.3.3	Controlli Operativi Specifici
2.5.3.3.1	Utilizzo Corretto:
2.5.3.3.2	Divieti Assoluti:
2.5.3.3.3	Verifiche Obbligatorie:
2.6	Cornice Narrativa
2.6.1	Il Nonno (Narratore Principale)
2.6.1.1	Descrizione/Ruolo
2.6.1.2	Aspetto Fisico
2.6.1.3	Personalità e Voce Narrativa
2.6.1.4	Gestione del Mistero Identità
2.6.1.5	Funzione Narrativa Specifica
2.6.1.6	Relazioni Cornice
2.6.1.7	Oggetti Simbolici e Storia delle Piume
2.6.1.8	Controlli Operativi Critici
2.6.1.8.1	Ambientazione 2080
2.6.1.8.2	Atmosfera Natalizia
2.6.1.8.3	Durata e Struttura
2.6.1.9	DIVIETI ASSOLUTI
2.6.1.10	OBBLIGHI NARRATIVI
2.6.2	Asia (Nipote Minore)
2.6.2.1.1	Descrizione/Ruolo
2.6.2.1.2	Aspetto Fisico
2.6.2.1.3	Personalità
2.6.2.1.4	Funzione Narrativa
2.6.2.1.5	Relazioni Cornice
2.6.2.1.6	Eredità Finale
2.6.3	Elea (Nipote Maggiore)
2.6.3.1.1	Descrizione/Ruolo
2.6.3.1.2	Aspetto Fisico
2.6.3.1.3	Personalità
2.6.3.1.4	Funzione Narrativa Cruciale
2.6.3.1.5	Il Momento della Rivelazione
2.6.3.1.6	Relazioni Cornice
2.6.4	Famiglia Allargata E Contesto
2.6.4.1	Marta (Figlia di Gabriele e Lisa)
2.6.4.2	Marta e il Genero
2.6.4.3	Ambientazione Dettagliata
2.6.5	STRUTTURA CORNICE COMPLETA
2.6.5.1	Prologo: "La Promessa della Cioccolata Calda"
2.6.5.2	Interludi Strategici
2.6.5.3	Epilogo: "La Promessa della Cioccolata Calda" (Completamento)
2.6.5.4	Gestione Temporale e Ritmica
2.6.5.5	Scena Conclusiva Azrael (Epilogo Finale)
2.6.5.6	"Memoria, Oblio e Narrazione"
2.6.5.7	"Amore come Forza Cosmica Trasformativa"
2.6.5.8	Eredità Finale
2.6.6	CONTROLLI OPERATIVI GENERALI (Cornice Narrativa)
2.6.6.1	Gestione Del Mistero (Critica)
2.6.6.2	Funzioni Narrative Obbligatorie
2.6.6.3	Divieti Assoluti
2.6.6.4	Obblighi Strutturali
2.6.6.5	Verifiche Crociate Obbligatorie
3	Ambientazione e Worldbuilding
3.1	Contesto Principale
3.1.1	Liceo "Leonardo da Vinci"
3.1.2	Città/Paese
3.1.3	Epoca
3.2	Luoghi Specifici Ricorrenti
3.3	Elementi Sovrannaturali
3.3.1	Angeli
3.3.2	Caduta Angelica
3.3.3	Poteri di Gabriele (Gabriel)
3.3.4	Regole Celesti
3.3.4.1	Amore Universale vs. Amore Specifico
3.3.4.2	Non Interferenza e Manifestazione Controllata
3.3.4.3	Mantenimento dell'Ordine e Conseguenze della Diserzione
3.3.5	Piume Angeliche
3.3.5.1	Fase Iniziale (Cap. 7-12 e oltre, fino al Cap. 25)
3.3.5.2	Fase di Reintegrazione (Cap. 25 - Zoo)
3.3.5.3	Fase Finale (Cap. 35 - Epilogo)
3.3.5.3.1	Ricordo Tangibile
3.3.5.3.2	Scudo Contro l'Oblio
3.3.6	Scultura dei Cigni(Creazione Infusa di Potere Angelico)
3.3.7	Intervento Divino
3.3.8	Oblio Selettivo Imposto
3.3.9	Legame Animico e Reincarnazione
3.3.10	Sogni Rivelatori/Ricordi Celesti
3.3.11	Musica Celeste
4	Cronologia Dettagliata degli Eventi
4.1	Parte 1: Un Brutto Anatroccolo Con Un Segreto
4.1.1	Prologo: La Promessa della Cioccolata Calda
4.1.2	Cap. 1: Vigilia di Scuola (31/08/2020)
4.1.3	Cap. 2: La Legge del Corridoio (01/09/2020)
4.1.4	Cap. 3: Il Coraggio del Legno (02-03/09/2020)
4.1.5	Cap. 4: La Nascita dei Cigni (dal 04/09/2020 al 25/09/2020 - FLASH FORWARD)
4.1.6	Cap. 5: Il Giorno del Concorso
4.1.7	Cap. 6: Un Compleanno Amaro
4.1.8	Cap. 7: Una Notte Misteriosa
4.1.9	Cap. 8: È diventato magico?
4.2	Parte 2: La Metamorfosi Inaspettata
4.2.1	Cap. 9: I primi cambiamenti
4.2.2	Cap. 10: Rinuncia e Ritorsione
4.2.3	Cap. 11: Conseguenze e Coscienze Sporche
4.2.4	Cap. 12: La Rettifica Riluttante
4.2.5	Cap. 13: La seconda Occasione
4.2.6	Cap. 14: Legami Spezzati
4.2.7	Cap. 15: Il Prezzo dell'Amicizia
4.2.8	Cap. 16: Una Giornata tra le Stelle
4.2.9	Cap. 17: Riflessi Irriconoscibili
4.2.10	Cap. 18: Lavori d'Asta e Intimità Crescente
4.2.11	Cap. 19: Amici... e Forse Qualcosa di Più?
4.3	Parte 3: Il Cigno, L’angelo E Le Ali Spezzate
4.3.1	Cap. 20: Acquazzone e Gelosia
4.3.2	Cap. 21: Pause e Nuovi Inizi
4.3.3	Cap. 22: Irriconoscibile
4.3.4	Cap. 22.5: L'Invito Ingannevole e la Gelosia di Lisa
4.3.5	Cap. 23: SpeedyGonzy colpisce ancora
4.3.6	Cap. 24: Ali Invisibili
4.3.7	Cap. 25: Il ruggito del Leone
4.3.8	Cap. 26: Strani Poteri?
4.3.9	Cap. 27: Quando il Nerd entra in campo
4.3.10	Cap. 28: La vera identità di SpeedyGonzy
4.3.11	Cap. 29: Fratello di Luce
4.4	Parte 4: Il Prezzo Dell’amore
4.4.1	Cap. 30: Un angelo? Davvero?
4.4.2	Cap. 31: Echi dal Passato Celeste
4.4.3	Cap. 32: L’Ultimatum Celeste
4.4.4	Cap. 33: Il Palazzo di Ghiaccio
4.4.5	Cap. 34: L’Arrivo di Michael
4.4.6	Cap. 35: Un istante lungo mille vite
4.4.7	Cap. 36: Lacrime e Stelle Cadenti
4.4.8	Cap. 37: Preghiere nella Notte
4.4.9	Cap. 38: Il Dono della Vita Umana
4.4.10	Epilogo
4.5	Guida Stilistica e Narrativa
4.5.1	Voce Narrante e Struttura a Cornice
4.5.1.1	Cornice Narrativa (Prologo, Epilogo, Interludi)
4.5.1.2	Stile del Nonno
4.5.2	Funzione degli Interludi
4.5.3	Preservare il Mistero
4.5.4	Corpo del Romanzo (Storia di Gabriele)
4.5.5	Tempo Verbale
4.5.5.1	Cornice Narrativa
4.5.5.2	Corpo del Romanzo
4.5.6	Stile di Prosa
4.5.7	Ritmo Narrativo
4.5.8	Gestione delle Dinamiche Emotive Complesse
4.5.8.1	Sfumature Emotive
4.5.8.2	Motivazioni Complesse
4.5.8.3	Evitare Giudizi Narrativi
4.5.8.4	Relazioni in Evoluzione
4.5.9	Uso Narrativo Del Diario
4.5.10	Gestione delle Incongruenze (Nota di Lavorazione)
5	Glossario
